,word,value_place,value_else,total_value,unique_chars,norm_place,norm_else,norm_total,first_letter,second_letter,third_letter,fourth_letter,fifth_letter
0,cigar,4416,13163,17579,5,0.3314785373608903,0.405899392109665,0.7373779294705554,c,i,g,a,r
0,rebut,3719,14534,18253,5,0.26222178060413354,0.46183346252702867,0.7240552431311622,r,e,b,u,t
0,sissy,5298,20530,25828,3,0.41911764705882354,0.7064583248337482,1.1255759718925717,s,i,s,s,y
0,humph,2975,7051,10026,4,0.18829491255961844,0.15654196075231527,0.3448368733119337,h,u,m,p,h
0,awake,4161,17025,21186,4,0.30614069952305245,0.5634613030884092,0.8696020026114617,a,w,a,k,e
0,blush,3161,12773,15934,5,0.20677662957074722,0.38998816857737345,0.5967647981481207,b,l,u,s,h
0,focal,4636,12306,16942,5,0.35333863275039745,0.37093549834768064,0.724274131098078,f,o,c,a,l
0,evade,3584,18877,22461,4,0.24880763116057233,0.639019215862266,0.8878268470228383,e,v,a,d,e
0,naval,4378,14619,18997,4,0.3277027027027027,0.46530129329688713,0.7930039959995898,n,a,v,a,l
0,serve,6069,18772,24841,4,0.4957273449920509,0.6347354249112643,1.1304627699033152,s,e,r,v,e
0,heath,4621,14846,19467,4,0.3518481717011129,0.47456244135286196,0.8264106130539748,h,e,a,t,h
0,dwarf,2885,11870,14755,5,0.17935214626391097,0.3531475663987597,0.5324997126626707,d,w,a,r,f
0,model,5982,12918,18900,5,0.48708267090620033,0.39590387989066134,0.8829865507968617,m,o,d,e,l
0,karma,4919,14700,19619,4,0.38145866454689986,0.4686059320305169,0.8500645965774167,k,a,r,m,a
0,stink,3902,14274,18176,5,0.28040540540540543,0.4512259801721676,0.731631385577573,s,t,i,n,k
0,grade,4807,16100,20907,5,0.37032988871224165,0.5257231447105382,0.8960530334227799,g,r,a,d,e
0,quiet,5370,10969,16339,5,0.42627186009538953,0.3163885602382604,0.74266042033365,q,u,i,e,t
0,bench,4282,10747,15029,5,0.3181637519872814,0.30733140222757127,0.6254951542148527,b,e,n,c,h
0,abate,4474,19090,23564,4,0.337241653418124,0.6477091917914406,0.9849508452095646,a,b,a,t,e
0,feign,4230,11902,16132,5,0.3129968203497615,0.3544531026885888,0.6674499230383504,f,e,i,g,n
0,major,4373,12480,16853,5,0.3272058823529412,0.3780343519236261,0.7052402342765673,m,a,j,o,r
0,death,4817,15343,20160,5,0.3713235294117647,0.4948390518542695,0.8661625812660343,d,e,a,t,h
0,fresh,3306,17054,20360,5,0.2211844197138315,0.5646444453510668,0.7858288650648984,f,r,e,s,h
0,crust,3772,14885,18657,5,0.2674880763116057,0.47615356370609113,0.7436416400176968,c,r,u,s,t
0,stool,3971,18236,22207,4,0.2872615262321145,0.6128676920566276,0.9001292182887422,s,t,o,o,l
0,colon,5094,12133,17227,4,0.39884737678855325,0.3638774427807923,0.7627248195693456,c,o,l,o,n
0,abase,4092,22842,26934,4,0.2992845786963434,0.8007833217738974,1.1000679004702407,a,b,a,s,e
0,marry,6174,12182,18356,4,0.5061605723370429,0.36587654522459306,0.8720371175616359,m,a,r,r,y
0,react,4630,17503,22133,5,0.35274244833068363,0.5829627514177308,0.9357051997484145,r,e,a,c,t
0,batty,5987,10294,16281,4,0.48757949125596184,0.2888499041246787,0.7764293953806405,b,a,t,t,y
0,pride,4843,14208,19051,5,0.3739069952305246,0.4485333115743952,0.8224403068049198,p,r,i,d,e
0,floss,6764,15490,22254,4,0.564785373608903,0.5008363591856717,1.0656217327945747,f,l,o,s,s
0,helix,3915,11925,15840,5,0.2816971383147854,0.35539145689690343,0.6370885952116888,h,e,l,i,x
0,croak,4188,13931,18119,5,0.3088235294117647,0.4372322630655624,0.7460557924773271,c,r,o,a,k
0,staff,3355,14825,18180,4,0.22605325914149443,0.47370568316266165,0.6997589423041561,s,t,a,f,f
0,paper,6486,14362,20848,4,0.5371621621621622,0.4548162049691975,0.9919783671313597,p,a,p,e,r
0,unfed,3862,11831,15693,5,0.2764308426073132,0.3515564440455306,0.6279872866528438,u,n,f,e,d
0,whelp,2759,12092,14851,5,0.16683227344992052,0.36220472440944884,0.5290369978593694,w,h,e,l,p
0,trawl,3595,14258,17853,5,0.2499006359300477,0.4505732120272531,0.7004738479573007,t,r,a,w,l
0,outdo,2925,14210,17135,4,0.18332670906200318,0.4486149075925095,0.6319416166545127,o,u,t,d,o
0,adobe,3579,17591,21170,5,0.2483108108108108,0.5865529762147608,0.8348637870255715,a,d,o,b,e
0,crazy,4525,10159,14684,5,0.34230922098569155,0.2833421729019624,0.625651393887654,c,r,a,z,y
0,sower,6932,16030,22962,5,0.5814785373608903,0.522867284076537,1.1043458214374273,s,o,w,e,r
0,repay,4995,15908,20903,5,0.38901033386327505,0.5178899269715638,0.9069002608348389,r,e,p,a,y
0,digit,4039,10871,14910,4,0.2940182829888712,0.3123903553506589,0.6064086383395302,d,i,g,i,t
0,crate,5518,16615,22133,5,0.44097774244833066,0.5467341193749745,0.9877118618233052,c,r,a,t,e
0,cluck,2958,8485,11443,4,0.18660572337042924,0.21504630574027989,0.40165202911070913,c,l,u,c,k
